timestamp,decision,score,prob_buy,prob_hold,prob_sell,prob_gap,indicator_sma,indicator_rsi,indicator_macd,indicator_bollinger,indicator_volume,indicator_bias,price
2022-01-09,hold,-0.04130402317381243,0.2956878052266389,0.3673203663729097,0.33699182840045133,0.03032853797245838,-1,0,1,0,0,0.0,3.6124911308288574
2022-01-16,hold,-0.04079488590003316,0.3040499895004627,0.35110513509904157,0.34484487540049585,0.0062602596985457115,-1,0,1,0,0,0.0,3.5943832397460938
2022-01-23,hold,-0.0449966870066254,0.298020608689665,0.35896209561404463,0.3430172956962904,0.015944799917754215,-1,0,1,0,0,0.0,3.62154483795166
2022-01-30,hold,-0.013873857614590923,0.30896066921172977,0.3682048039619495,0.3228345268263207,0.0453702771356288,-1,0,-1,1,1,0.0,3.358983278274536
2022-02-13,hold,0.042151721396502584,0.29617000113364783,0.38981171912920703,0.3140182797371452,0.07579343939206185,-1,0,1,0,1,0.2,3.62154483795166
2022-02-20,hold,-0.022428191158144428,0.2946447731425383,0.388282262556779,0.3170729643006827,0.07120929825609629,-1,0,1,0,0,0.0,3.585329532623291
2022-02-27,hold,-0.023141425465064203,0.2954078116075788,0.3860429513197783,0.318549237072643,0.0674937142471353,-1,0,1,0,0,0.0,3.485736846923828
2022-03-06,sell,-0.15047959392055976,0.2893193816441982,0.3908816427910438,0.31979897556475795,0.07108266722628587,-1,0,-1,0,0,-0.4,3.4766831398010254
2022-03-13,hold,-0.08411684761779836,0.2943156257272716,0.38725190092765843,0.31843247334506997,0.06881942758258847,-1,0,-1,1,0,-0.2,3.3408753871917725
2022-03-20,hold,0.01264250219185048,0.31083632367428277,0.3909698548432849,0.2981938214824323,0.08013353116900213,-1,0,-1,1,1,0.0,3.2503366470336914
2022-03-27,hold,-0.03839690851310262,0.3184859644369187,0.3846311626130601,0.29688287295002125,0.0661451981761414,-1,0,-1,1,0,-0.2,3.177905797958374
2022-04-03,hold,-0.0430165678763158,0.3199989730957221,0.37698548593223996,0.30301554097203787,0.056986512836517844,-1,0,-1,1,0,-0.2,3.2412824630737305
2022-04-10,hold,-0.11518854846737853,0.31313104431076993,0.3785493629110817,0.30831959277814847,0.06541831860031178,-1,0,-1,1,-1,-0.4,3.223174810409546
2022-04-17,hold,-0.04941478272098854,0.30849730403820175,0.39359060920260797,0.2979120867591903,0.08509330516440622,-1,0,-1,1,0,-0.2,3.1960132122039795
2022-04-24,hold,-0.10292698406553108,0.31051396259125696,0.396045090751955,0.29344094665678805,0.08553112816069802,-1,0,-1,0,0,-0.4,3.1869595050811768
2022-05-01,hold,-0.10898634276270402,0.31209870888216446,0.38681623947296706,0.3010850516448685,0.0747175305908026,-1,0,-1,0,0,-0.4,3.1869595050811768
2022-05-08,sell,-0.15788827980383943,0.31978299403248117,0.38254573213119825,0.2976712738363206,0.06276273809871707,-1,0,-1,0,-1,-0.6,3.132636308670044
2022-05-15,hold,-0.10319085293666524,0.31223541544422373,0.3923383161748872,0.295426268380889,0.08010290073066345,-1,0,-1,0,0,-0.4,3.177905797958374
2022-05-22,hold,-0.10792513436435486,0.3037786055107568,0.4045176546141316,0.29170373987511167,0.10073904910337478,-1,0,-1,0,0,-0.4,3.2050671577453613
2022-05-29,hold,-0.09781725768742067,0.31009875647058366,0.40198522937141207,0.28791601415800433,0.09188647290082841,-1,0,-1,0,0,-0.4,3.1597976684570312
2022-06-05,hold,-0.1012654950692457,0.31070829760883084,0.3973179097130927,0.29197379267807655,0.08660961210426188,-1,0,-1,0,0,-0.4,3.141690254211426
2022-06-12,hold,0.07344010791374656,0.303961895289909,0.40551631733392846,0.2905217873761625,0.10155442204401943,-1,0,1,0,1,0.2,3.168851613998413
2022-06-19,hold,0.07722727171169264,0.30615893371242625,0.40490940428684014,0.28893166200073356,0.09875047057441388,-1,0,1,0,1,0.2,3.1960132122039795
2022-06-26,hold,0.01298015409699993,0.29997670058698467,0.41302675292303054,0.28699654648998474,0.11305005233604587,-1,0,1,0,0,0.0,3.1507441997528076
2022-07-03,hold,0.0011816498443634749,0.2964730643295813,0.4082355211852009,0.29529141448521784,0.11176245685561959,-1,0,1,0,0,0.0,3.1772866249084473
2022-07-10,hold,0.010607103231635273,0.2997082308793359,0.4111906414729635,0.28910112764770063,0.11148241059362762,-1,0,1,0,0,0.0,3.131504535675049
2022-07-17,hold,0.019878176102712253,0.3074314183006484,0.4050153395014154,0.28755324219793615,0.09758392120076698,-1,0,1,0,0,0.0,3.094878911972046
2022-07-24,hold,0.007400129428362823,0.30188568512168146,0.4036287591849999,0.29448555569331863,0.10174307406331845,-1,0,1,0,0,0.0,3.1406610012054443
2022-07-31,hold,-0.05681307994498047,0.3121181665090387,0.31895058703694207,0.36893124645401915,0.04998065941707708,-1,0,1,0,0,0.0,3.1498172283172607
2022-08-07,hold,0.09121254544492974,0.331511664601589,0.36818921624175177,0.30029911915665924,0.03667755164016279,-1,0,1,1,0,0.2,3.1040353775024414
2022-08-14,hold,0.01795483792351099,0.30815995924047374,0.4016349194425635,0.29020512131696274,0.09347496020208979,-1,0,1,-1,1,0.0,3.2871639728546143
2022-08-21,hold,-0.012466086884880156,0.3336039753588376,0.3803259623974446,0.28607006224371784,0.04672198703860697,-1,0,1,-1,0,-0.2,3.2780072689056396
2022-08-28,hold,0.05674071915079837,0.337467525619418,0.38180566791196235,0.28072680646861964,0.04433814229254435,-1,0,1,0,0,0.0,3.232225179672241
2022-09-04,hold,0.05122007413275437,0.3348209998905273,0.38157807435169966,0.28360092575777296,0.04675707446117233,-1,0,1,0,0,0.0,3.232225179672241
2022-09-11,hold,-0.011026314290526584,0.33295428783344183,0.38306511004258975,0.2839806021239684,0.05011082220914792,-1,0,1,-1,0,-0.2,3.2963204383850098
2022-09-18,hold,0.06091852710117435,0.33594929581943345,0.38901993546230745,0.2750307687182591,0.05307063964287401,-1,0,1,0,0,0.0,3.1864430904388428
2022-09-25,hold,0.06633093647191829,0.334983040467995,0.3963648555359283,0.2686521039960767,0.06138181506793333,-1,0,1,0,0,0.0,3.1864430904388428
2022-10-02,hold,0.1348790424038672,0.3431866349168497,0.3885057725701679,0.2683075925129825,0.04531913765331819,-1,0,1,1,0,0.2,3.0674092769622803
2022-10-16,hold,0.06695075356203312,0.3319609863929247,0.4030287807761837,0.2650102328308916,0.071067794383259,-1,0,1,0,0,0.0,3.1406610012054443
2022-10-23,hold,0.06659172501486332,0.3365892547849145,0.3934132154450342,0.2699975297700512,0.05682396066011969,-1,0,1,0,0,0.0,3.1498172283172607
2022-10-30,hold,0.015141593907837203,0.34076785148194344,0.3936058909439502,0.26562625757410624,0.05283803946200677,-1,0,-1,1,0,-0.2,3.058253049850464
2022-11-06,hold,0.07634647760819258,0.3411226423868259,0.3941011928345408,0.2647761647786333,0.052978550447714934,-1,0,1,-1,1,0.0,3.3421027660369873
2022-11-13,hold,0.1388665583837211,0.3508626882391456,0.37714118190542983,0.2719961298554245,0.02627849366628421,-1,0,1,0,1,0.2,3.237929105758667
2022-11-20,hold,0.07004646952588911,0.34301510379828953,0.38401626192931,0.2729686342724004,0.041001158131020454,-1,0,1,-1,1,0.0,3.5271968841552734
2022-11-27,hold,0.010879437816186277,0.36005862794657384,0.3507621819230386,0.28917919013038756,0.009296446023535243,-1,-1,1,-1,1,-0.2,3.891113758087158
2022-12-04,hold,0.12234257305892537,0.3687731389331818,0.3247962951925619,0.3064305658742564,0.043976843740619886,1,-1,1,-1,1,0.2,4.42299222946167
2022-12-11,hold,0.1244176044994818,0.360570309797099,0.3432769849052841,0.2961527052976171,0.0172933248918149,1,-1,1,-1,1,0.2,4.618947505950928
2022-12-18,hold,0.1250811083653227,0.3612770895917059,0.3425269291819108,0.2961959812263832,0.018750160409795102,1,-1,1,-1,1,0.2,4.516304969787598
2022-12-25,hold,0.07021126637372699,0.37177715263171135,0.32665696111030423,0.30156588625798436,0.045120191521407116,1,-1,1,-1,0,0.0,4.478979587554932
2023-01-01,buy,0.22158305405493928,0.38481375038545956,0.33195555328402016,0.2832306963305203,0.05285819710143941,1,0,1,0,0,0.4,4.180380821228027
2023-01-08,hold,0.10025595166863388,0.3948936951042879,0.31046856146005797,0.294637743435654,0.08442513364422993,1,-1,1,-1,0,0.0,4.656272888183594
2023-01-15,buy,0.16326403656862376,0.3873456959947241,0.3285726445791755,0.28408165942610036,0.058773051415548616,1,-1,1,0,0,0.2,4.721590995788574
2023-01-22,hold,0.005608986377166503,0.2987659958739007,0.40807699462936514,0.2931570094967342,0.10931099875546446,1,-1,1,-1,0,0.0,5.160158634185791
2023-02-05,buy,0.1422584153510486,0.31012119332567256,0.4020160286997034,0.28786277797462395,0.09189483537403081,1,0,1,0,0,0.4,4.889552593231201
2023-02-12,buy,0.20097263768930518,0.3820493655575623,0.3168739065741806,0.3010767278682571,0.06517545898338173,1,0,1,0,0,0.4,4.646941661834717
2023-02-19,buy,0.20754938048185556,0.3833484199926647,0.3208525404965261,0.29579903951080916,0.06249587949613861,1,0,1,0,0,0.4,4.590954303741455
2023-02-26,buy,0.1320916916102033,0.30469023904086373,0.4027112135284759,0.29259854743066044,0.09802097448761216,1,0,1,0,0,0.4,4.814903259277344
2023-03-05,hold,-0.012750578407120239,0.30568933145000865,0.3158707586928623,0.37843990985712894,0.06256915116426665,1,-1,1,-1,1,0.2,5.664042949676514
2023-03-12,hold,0.1114938554684517,0.3177286870200972,0.2960364814282573,0.3862348315516455,0.0685061445315483,1,0,1,0,1,0.6,5.356112957000732
2023-03-19,hold,-0.022728461879388595,0.3078231042723107,0.3016253295759901,0.3905515661516992,0.08272846187938854,1,-1,1,-1,1,0.2,5.7386932373046875
2023-03-26,hold,0.05328628771288502,0.3180510736659457,0.2971841403809936,0.3847647859530607,0.06671371228711498,1,0,1,0,0,0.4,5.132164478302002
2023-04-02,hold,0.05827235382458579,0.32071575116216233,0.29684085150026107,0.38244339733757654,0.06172764617541421,1,0,1,0,0,0.4,5.057514667510986
2023-04-09,hold,0.05141941119456689,0.31948566283676444,0.29244808552103796,0.38806625164219755,0.06858058880543311,1,0,1,0,0,0.4,5.188151836395264
2023-04-16,hold,0.04680389942671137,0.3175665640765571,0.2916707712735972,0.3907626646498457,0.07319610057328862,1,0,1,0,0,0.4,5.412100791931152
2023-04-23,hold,-0.06083629675621316,0.3188671414230672,0.30142942039765247,0.3797034381792804,0.06083629675621316,1,0,-1,0,0,0.0,5.141496181488037
2023-04-30,hold,-0.056281537968065454,0.2997116966976698,0.4042950686365949,0.2959932346657353,0.10458337193892514,1,0,-1,0,-1,-0.2,5.07617712020874
2023-05-07,hold,-0.0639519300949073,0.2936193919639186,0.40880928597725547,0.2975713220588259,0.11123796391842955,1,0,-1,0,-1,-0.2,5.122832775115967
2023-05-14,hold,0.01671397356717097,0.30532762474286207,0.4060587240814468,0.2886136511756911,0.1007310993385847,1,0,-1,0,0,0.0,4.908215522766113
2023-05-21,hold,0.03611676295735633,0.38224669895299784,0.33162336505136064,0.2861299359956415,0.0506233339016372,1,0,-1,0,-1,-0.2,4.656272888183594
2023-05-28,hold,0.09345145410130457,0.38009044473105225,0.3332705646392002,0.2866389906297477,0.04681988009185206,1,0,-1,1,-1,0.0,4.450985908508301
2023-06-04,hold,-0.044648990775748354,0.3009151820817286,0.4135206450607944,0.28556417285747693,0.11260546297906576,1,0,-1,0,-1,-0.2,4.712260723114014
2023-06-11,hold,-0.007462006292206891,0.28714815163558716,0.41824169043661885,0.29461015792779405,0.1236315325088248,1,0,-1,0,0,0.0,4.95487117767334
